date,AUDUSD,EURUSD,GBPUSD,NZDUSD,USDCAD,USDCHF,USDIDR,USDINR,USDJPY,USDKRW,USDSGD,USDTWD,USDZAR
2005-01-11,0.76035000383854,1.3107999861240498,1.877799987792975,0.6964499950408924,1.2199000120162748,1.18030002713205,9291.25,43.7562494277955,103.78499984740999,1047.625,1.640774995088575,32.076250076293746,5.9717500209808
2005-01-12,0.7634750008583076,1.3187499940395502,1.883275002241125,0.7017999887466425,1.20887500047685,1.1741999685764248,9229.25,43.66750049591076,102.84749984741251,1040.975006103525,1.636500000953675,31.860499858856,5.9732999801636
2005-01-13,0.7663499861955649,1.323375016450875,1.8863750100136,0.7050749957561501,1.2023750245571,1.169999986886975,9134.0,43.59000015258775,102.4700012207025,1035.975006103525,1.6308000087737997,31.8290004730225,5.981750011444075
2005-01-14,0.7618499994277951,1.3151500225066999,1.874824970960625,0.7012750059366251,1.2101750373840499,1.1775500178337,9158.25,43.6362504959105,102.3575019836425,1038.7749938964998,1.6339750289916999,31.86374998092675,6.044250130653374
2005-01-17,0.7591499984264375,1.30897495150565,1.866025000810625,0.69777500629425,1.2163749933242751,1.1811000108719,9137.5,43.6399993896485,101.977500915525,1035.7000122070249,1.635274976491925,31.72999954223625,6.02907502651215
2005-01-18,0.75560000538826,1.3039500117302,1.8631000220775498,0.69522501528263,1.221149981021875,1.1849749684334,9154.25,43.6762495040895,102.3625011444075,1035.94998168945,1.6351000070572002,31.815000057220253,6.0448000431060755
2005-01-19,0.7582749873399726,1.3026750087738,1.870750010013575,0.699674993753435,1.224575012922275,1.184174984693525,9155.5,43.685500144958496,102.515001296995,1033.649993896475,1.6329999864101499,31.74024963378925,6.052574992179874
2005-01-20,0.7595000118017176,1.298074990510925,1.870600014925,0.7028499990701675,1.2308500111103,1.18760001659395,9165.0,43.718749999999744,103.027500152585,1034.925018310525,1.63517501950265,31.805750370025752,6.061775088310225
2005-01-21,0.7641250044107426,1.3003749847412251,1.8731499910354499,0.709450006484985,1.22687497735025,1.1886250078678249,9150.25,43.68750095367425,103.14999961853,1037.5750122070249,1.636624991893775,31.8174996376035,6.0115500688553
2005-01-24,0.7694999873638125,1.3055750131607,1.879299998283375,0.7144250124692901,1.221849977970125,1.1838000118732501,9154.0,43.69999980926525,102.7224998474125,1033.600006103525,1.63319995999335,31.82324981689475,5.942900061607375
2005-01-25,0.7675750106573126,1.3012999892234751,1.872124999761575,0.7120250016450875,1.230800032615675,1.1886500120163,9142.25,43.735499382019,103.39750099182,1031.625,1.6362749934196499,31.86900043487575,5.948000073432925
2005-01-26,0.769899994134905,1.3031750023365,1.87392500042915,0.713275000452995,1.23370000720025,1.187700003385525,9146.75,43.71000003814675,103.47999763489,1033.9249877929499,1.63587498664855,31.833999633789247,5.948074817657476
2005-01-27,0.7757999897003174,1.306350022554375,1.8850750029087,0.7157250046730026,1.2360250055789999,1.1834249794482998,9141.0,43.7300004959105,103.14999961853,1028.67501831055,1.6328749954700499,31.81500053405775,5.928649902343775
2005-01-28,0.77572499215603,1.303899973630925,1.887125015258775,0.71359999477863,1.2400750219822,1.18595001101495,9143.75,43.717499732971504,103.1275005340575,1025.125,1.6331999897957,31.76424980163575,5.939025044441225
2005-01-31,0.774225011467935,1.3025500178337501,1.8842999637127,0.7109249979257575,1.24019998311995,1.188949972391125,9159.25,43.68249893188475,103.5899982452375,1025.600006103525,1.63622498512265,31.746250629425,5.961399912834175
2005-02-01,0.7738250046968475,1.303725004196175,1.8827000260353,0.7113250046968475,1.2385750114918,1.1905499994755,9203.75,43.686749458313,103.742500305175,1028.0,1.6387749910354752,31.76000070571875,6.01002502441405
2005-02-02,0.775675013661385,1.304699987173075,1.88490000367165,0.71287500858307,1.23657497763635,1.190974980592725,9207.5,43.51999950408925,103.6950016021725,1027.79998779295,1.637024998664875,31.685250759125,6.02190005779265
2005-02-03,0.7736999988555926,1.299400001764325,1.8840500116348249,0.7117250114679324,1.24075001478195,1.197999984025975,9208.0,43.33749866485575,104.082498550415,1027.375,1.636700004339225,31.614999771117997,6.077500104904175
2005-02-04,0.7712749987840675,1.2938249707221998,1.880625009536725,0.7109499871730824,1.243925005197525,1.2048250138759249,9211.25,43.38500022888199,104.15999984741251,1025.4500122070249,1.6361999809742,31.577000141144,6.1414499282837
2005-02-07,0.7691750079393399,1.280249983072275,1.8650999963283499,0.7043250054121051,1.252925008535375,1.218299984931925,9215.0,43.456249237060746,104.5849990844725,1027.0,1.6392750144005,31.576249599456748,6.18994998931885
2005-02-08,0.766075000166895,1.2765500247478498,1.8556750118732501,0.69945000112057,1.2511999905109499,1.222200006246575,9261.25,43.55875015258774,105.319999694825,1031.524993896475,1.645549982786175,31.68000078201275,6.237075090408325
2005-02-09,0.76792499423027,1.2781750261783502,1.8578499853611001,0.7009499967098225,1.248275011777875,1.219224989414225,9286.75,43.673000335693246,105.670000076295,1039.0,1.6482500135898501,31.837500095367503,6.23625004291535
2005-02-10,0.7768750041723275,1.2833250164985999,1.8630249798297749,0.7073999941349025,1.2459500133991,1.2129499912262,9285.0,43.75749969482425,105.90999794006251,1041.5,1.6507750153541503,31.807499885559,6.179425001144425
2005-02-11,0.78414998948574,1.287150025367725,1.86747500300405,0.7123000025749201,1.23974999785425,1.2093000411987251,9285.75,43.79124927520775,105.74749946594,1035.1999816894252,1.6505250036716501,31.692499637603504,6.103325009345999
2005-02-14,0.78685000538826,1.29267501831055,1.8787999749183752,0.7145999968051899,1.2345499992370499,1.2035250067710752,9248.25,43.74499988555874,105.20999908447249,1030.375030517575,1.643249988555925,31.61800050735475,6.0526250600815
2005-02-15,0.7864999920129775,1.300100028514875,1.8916750252246752,0.7150750160217274,1.232324987649925,1.1940750181675002,9264.5,43.765000343322754,104.782499313355,1026.149993896475,1.63932499289515,31.5165004730225,5.99895000457765
2005-02-16,0.78457500040531,1.302025020122525,1.8888249993324249,0.71372500061989,1.2355749905109499,1.188675016164775,9282.25,43.7324991226195,104.9775009155275,1024.8999938965,1.64014998078345,31.53849983215325,5.9677499532699745
2005-02-17,0.7861499935388575,1.30512499809265,1.8897749483585249,0.71527500450611,1.2324000298977,1.185150027275075,9293.75,43.69299983978275,105.467500686645,1026.7000122070249,1.6413750052452,31.508499622345,5.9495749473572
2005-02-18,0.7871000021696075,1.30590000748635,1.893974989652625,0.7204000055789951,1.2308250069618252,1.1847749650478498,9271.25,43.76875019073475,105.54999923706251,1025.850006103525,1.6394749879836998,31.50750017166125,5.928049921989425
2005-02-21,0.7885500043630624,1.305700033903125,1.8949999809265,0.7243999987840649,1.2325500249862749,1.183624982833875,9266.25,43.800000190735,105.6099987030025,1024.100006103525,1.6383499801159,31.441999912262002,5.9250749349594
2005-02-22,0.791424989700315,1.31582498550415,1.9041000008583,0.7267500013113,1.2290749847889,1.17082500457765,9233.0,43.71750068664551,104.74749946594251,1014.224990844725,1.631650000810625,31.316249847412248,5.850299954414375
2005-02-23,0.7900750190019625,1.323200017213825,1.9094500243663501,0.7257000207900974,1.2342750132083748,1.1614750027656249,9223.5,43.67249965667725,104.4775009155275,1002.87499999999,1.6272749900817751,31.17374992370625,5.790699958801275
2005-02-24,0.7865750044584274,1.32152500748635,1.9087499976158502,0.7219249904155725,1.2430250048637501,1.166000008583075,9256.75,43.65124893188475,105.0950012207,1005.7249908447,1.6292999982834002,31.135000228882,5.80567502975465
